date,Q1,Q2,Q3,Q4,Q5,horizon
2006-10-31,0.025435835053640478,0.03128110195294322,0.025569822241454047,0.0238164054028454,0.022364086248528106,10
2006-11-01,0.05612629790397144,0.04920321363169061,0.04462299834056275,0.04954378691643419,0.054971606860540784,10
2006-11-02,0.059604945342342674,0.049730912334004174,0.04500578678982563,0.05189719548464577,0.05484513735065322,10
2006-11-03,0.049096709202148585,0.043841511740369626,0.037788516654422316,0.04167451284440613,0.047436965230187866,10
2006-11-06,0.034823440729654306,0.03082247848578276,0.029226518419966586,0.031108685916517224,0.03285422220896901,10
2006-11-07,0.03607935081903193,0.03204271849176062,0.03086702026302353,0.030042327166541285,0.035678865894539384,10
2006-11-08,0.0309293287800339,0.025126095393212942,0.024916559756573666,0.022479842495874768,0.035619080915101194,10
2006-11-09,0.039460574847456284,0.028830157051804323,0.02786500811049379,0.03086110160886318,0.03955236836200168,10
2006-11-10,0.0066340507959095265,0.001361734779780306,-0.0002482876238718684,0.0018062929574408787,0.00890790743252125,10
2006-11-13,0.004966800717698703,8.306501064482154e-05,0.0005391379084820791,-0.0010551102879563445,0.005694704253535027,10
2006-11-14,-0.0014420349069427085,-0.0018646316062260878,0.001357959497476529,-0.0022313375697322253,0.004608506181027856,10
2006-11-15,-0.004813036084087553,-0.006794355547808868,-0.0017814509299151834,-0.006202319767011494,-0.002249607564460023,10
2006-11-16,-0.008195020139940506,-0.00816517318298942,-0.003420184168809871,-0.01019488802541979,-0.003720939435372202,10
2006-11-17,0.00830954773758396,0.007334563332262111,0.010246175355483644,0.013654662228879285,0.020918130352517886,10
2006-11-20,0.015403458902016564,0.011281392832811911,0.012952858018253098,0.013453389373774556,0.021577942282017412,10
2006-11-21,0.016145493460941164,0.008520449593432948,0.007249089699737806,0.007399862765499622,0.016303540731977723,10
2006-11-22,0.007400958742245961,0.0022207981896792428,0.0008903576861656948,0.000897666259876893,0.007165229518315128,10
2006-11-24,0.00774738845629342,0.00368866059510651,0.0014092615649102021,0.0021862767229534038,0.011063822346248132,10
2006-11-27,0.031122895422504356,0.021619019707179055,0.02342093870270595,0.02587840748686629,0.03463309612385229,10
2006-11-28,0.02370192135791273,0.014004731630506431,0.01641102939880343,0.01610197642997371,0.02164226017057322,10
2006-11-29,0.012102980140946564,0.006683994368544918,0.005339609310375382,0.005731141058734234,0.008432549675979043,10
2006-11-30,0.011790473855715359,0.014108633838689688,0.006630543532944197,0.011828698066518253,0.016076939330417546,10
2006-12-01,0.013227605461403604,0.014997173497913338,0.010386017155587004,0.014945439978078545,0.019266987929110167,10
2006-12-04,-0.010364720138876774,-0.0090331548463048,-0.01657527898054213,-0.01352593804735008,-0.014231332619696316,10
2006-12-05,-0.017128642851548807,-0.011014327015513645,-0.015344003449005179,-0.014624169924807572,-0.01820663750309107,10
2006-12-06,-0.011099020555432807,-0.007745515286142455,-0.011795245669274035,-0.012010553528278414,-0.01428282626769858,10
2006-12-07,-0.012190267241183382,-0.004981916322228636,-0.013061851584991398,-0.01027173912664412,-0.01729958808380196,10
2006-12-08,-0.013073886833267443,-0.00982779891439289,-0.014415631297828272,-0.015358933241965212,-0.018391523631264332,10
2006-12-11,-0.005827625132343885,-0.0013255615437568766,-0.007346836663166679,-0.010604985077421643,-0.012880578349506374,10
2006-12-12,0.00948529462198,0.0136576537979864,0.007067792558690218,0.005791187511288513,0.012157185129243355,10
2006-12-13,0.007463027894840919,0.006709603166710211,0.003933883234905507,0.0006038872320009666,0.0051484973453207955,10
2006-12-14,-0.005468026165848812,-0.00922192330708304,-0.010190300311508062,-0.015288752006301311,-0.010245505972698615,10
2006-12-15,-0.008357434268889618,-0.007223447560793896,-0.007662748069379184,-0.011927311081916265,-0.01286248559167234,10
2006-12-18,0.005342144825243216,0.006200979973723246,0.004483616527697057,0.0001754098393793283,0.002904233297364275,10
2006-12-19,-0.00847398225037786,-0.007200675913134506,-0.010742872187521615,-0.015029036600028002,-0.011975988871837404,10
2006-12-20,-0.01522871195236802,-0.008655649993266025,-0.011415068684001467,-0.010779431248127766,-0.013872892596195412,10
2006-12-21,-0.009016803092354758,-0.005234231229599731,-0.004944104346377013,-0.0076262985746408645,-0.004816278697112361,10
2006-12-22,-0.005654559757301081,-0.0033019868656632037,-0.0018722125617695994,-0.0023750469169861394,0.00035537025171301874,10
2006-12-26,0.00020223058068555668,-4.684433717033912e-05,-0.0012303323483551503,0.0016254892652449928,0.009569744306419159,10
2006-12-27,0.0009760460625907126,-0.005079689328202528,-0.005756051419693184,-0.000655665348117145,0.0032125605202757163,10
2006-12-28,0.0013700214379677234,-0.000866219151964598,-0.008373188186639253,-0.0003517605485421557,0.006870365162284524,10
2006-12-29,0.0016740690588456452,0.006815963492370633,-0.0016733487998351166,0.004529547375036988,0.010512435320406523,10
2007-01-03,-0.01139445861018258,-0.005255597914990028,-0.00906083821133364,-0.004037214063031113,-0.0016858424510068143,10
2007-01-04,-0.005957481274583471,0.0015281556711582848,-0.003948602204495231,0.0028134393466771233,0.006161591942575587,10
2007-01-05,0.0014571167341973495,0.008575684229824755,0.002928883771594417,0.008043230252125201,0.011547188022502127,10
2007-01-08,0.012007114115486016,0.01628392001123361,0.010475693287526977,0.018163061258328388,0.020490755622751388,10
2007-01-09,0.020631913265370904,0.02054091625121776,0.02385703725431369,0.025795161191408376,0.031240946696239513,10
2007-01-10,0.005167827094087726,0.014175264311447595,0.010537265224632966,0.01304242970749455,0.010342034378368148,10
2007-01-11,-0.0032010901701748453,0.006825669613915089,0.006303617560641502,0.004798017490610791,0.0024710719359557305,10
2007-01-12,-0.005276438851693413,0.004110139802392959,0.001887902041913106,0.0010659953860226144,-0.002494249356066233,10
2007-01-16,0.005339798023557548,0.0168485955984923,0.008017356939279852,0.009793760949482398,0.006041989857850143,10
2007-01-17,0.013624496668024358,0.023733580190159698,0.01594823787351748,0.015267939911594365,0.01366562072226211,10
2007-01-18,0.03398716870293949,0.04114085757912647,0.0390280864990246,0.037317782965409885,0.04207811991606333,10
