date,horizon,ic
2007-04-12,10,-0.0035210514160918982
2007-04-13,10,0.016758479058873836
2007-04-16,10,0.012756856602175952
2007-04-17,10,0.011916968536715075
2007-04-18,10,0.06091051860645165
2007-04-19,10,0.09070791391514972
2007-04-20,10,0.11629187637086821
2007-04-23,10,0.08365366436929635
2007-04-24,10,0.08767386137880677
2007-04-25,10,0.09146700883389605
2007-04-26,10,0.06878933069823745
2007-04-27,10,0.0565905645032272
2007-04-30,10,0.05222914553230023
2007-05-01,10,0.10037591183106426
2007-05-02,10,0.09741358780911354
2007-05-03,10,0.11200041959256189
2007-05-04,10,0.08016074697741847
2007-05-07,10,0.06678390235639778
2007-05-08,10,0.04274498169663833
2007-05-09,10,0.016228302090750362
2007-05-10,10,-0.013454315387779813
2007-05-11,10,-0.0018589481501314347
2007-05-14,10,0.005887516517008798
2007-05-15,10,0.026236001618432585
2007-05-16,10,0.023202569855887492
2007-05-17,10,0.0281224199292229
2007-05-18,10,0.06747549073130295
2007-05-21,10,0.07328463125022029
2007-05-22,10,0.09212316833022467
2007-05-23,10,0.06703735360127543
2007-05-24,10,0.08411665446180351
2007-05-25,10,0.08922703794518382
2007-05-29,10,0.06061932822782763
2007-05-30,10,0.06852508253322118
2007-05-31,10,0.11258821904677101
2007-06-01,10,0.09117751872709746
2007-06-04,10,0.058032589286197575
2007-06-05,10,0.050783794031930174
2007-06-06,10,0.033969027185229754
2007-06-07,10,0.08073302232681356
2007-06-08,10,0.06350192640155145
2007-06-11,10,0.043985554322453
2007-06-12,10,0.04775067655740701
2007-06-13,10,-0.00459561121829978
2007-06-14,10,-0.002051839395463503
2007-06-15,10,0.02811486373093572
2007-06-18,10,0.08764531124287557
2007-06-19,10,0.08692049964872438
2007-06-20,10,0.1384707321525251
2007-06-21,10,0.12094062010020741
2007-06-22,10,0.147114165619628
2007-06-25,10,0.15543040030429664
2007-06-26,10,0.1677185117438195
2007-06-27,10,0.17968279892366062
2007-06-28,10,0.17541099217934222
2007-06-29,10,0.15812841373134823
2007-07-02,10,0.11471007365773066
2007-07-03,10,0.12088262557625327
2007-07-05,10,0.08831870234912233
2007-07-06,10,0.04690392733322439
2007-07-09,10,0.06491208243248743
2007-07-10,10,0.04214405212769131
2007-07-11,10,-0.01490816132886604
2007-07-12,10,-0.062080604665695024
2007-07-13,10,-0.07496300728130409
2007-07-16,10,-0.024842778742704075
2007-07-17,10,-0.009792216986361029
2007-07-18,10,-0.011402916980667444
2007-07-19,10,0.022800223494586897
2007-07-20,10,0.04332833190618385
2007-07-23,10,0.018107014231410996
2007-07-24,10,0.037062641356934045
2007-07-25,10,-0.018522120579210603
2007-07-26,10,-0.040532555750361375
2007-07-27,10,0.015838523667801408
2007-07-30,10,0.0706573086701374
2007-07-31,10,0.03995769363691015
